customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,code,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,Hash,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
,Female,0,Yes,No,1,No,No phone service,7590,DSL,No,Yes,No,No,No,No,Month-to-month,75VEG,Yes,Electronic check,29.85,29.85,No
5575-GNVDE,Male,0,No,No,34,Yes,No,5575,DSL,Yes,No,Yes,No,No,No,One year,GNVDE,No,Mailed check,56.95,1889.5,No
,Male,0,No,No,2,Yes,No,3668,DSL,Yes,Yes,No,No,No,No,Month-to-month,QPYBK,Yes,Mailed check,53.85,108.15,Yes
7795-CFOCW,Male,0,No,No,45,No,No phone service,7795,DSL,Yes,No,Yes,Yes,No,No,One year,CFOCW,No,Bank transfer (automatic),42.3,1840.75,No
9237-HQITU,Female,0,No,No,2,Yes,No,9237,Fiber optic,No,No,No,No,No,No,Month-to-month,HQITU,Yes,Electronic check,70.7,151.65,Yes
,Female,0,No,No,8,Yes,Yes,9305,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,CDSKC,Yes,Electronic check,99.65,820.5,Yes
,Male,0,No,Yes,22,Yes,Yes,1452,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,KIOVK,Yes,Credit card (automatic),89.1,1949.4,No
,Female,0,No,No,10,No,No phone service,6713,DSL,Yes,No,No,No,No,No,Month-to-month,OKOMC,No,Mailed check,29.75,301.9,No
,Female,0,Yes,No,28,Yes,Yes,7892,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,POOKP,Yes,Electronic check,104.8,3046.05,Yes
6388-TABGU,Male,0,No,Yes,62,Yes,No,6388,DSL,Yes,Yes,No,No,No,No,One year,TABGU,No,Bank transfer (automatic),56.15,3487.95,No
,Male,0,Yes,Yes,13,Yes,No,9763,DSL,Yes,No,No,No,No,No,Month-to-month,GRSKD,Yes,Mailed check,49.95,587.45,No
,Male,0,No,No,16,Yes,No,7469,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,LKBCI,No,Credit card (automatic),18.95,326.8,No
,Male,0,Yes,No,58,Yes,Yes,8091,Fiber optic,No,No,Yes,No,Yes,Yes,One year,TTVAX,No,Credit card (automatic),100.35,5681.1,No
0280-XJGEX,Male,0,No,No,49,Yes,Yes,280,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,XJGEX,Yes,Bank transfer (automatic),103.7,5036.3,Yes
5129-JLPIS,Male,0,No,No,25,Yes,No,5129,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,JLPIS,Yes,Electronic check,105.5,2686.05,No
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,3655,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,SNQYZ,No,Credit card (automatic),113.25,7895.15,No
8191-XWSZG,Female,0,No,No,52,Yes,No,8191,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,XWSZG,No,Mailed check,20.65,1022.95,No
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,9959,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,WOFKT,No,Bank transfer (automatic),106.7,7382.25,No
,Female,0,Yes,Yes,10,Yes,No,4190,DSL,No,No,Yes,Yes,No,No,Month-to-month,MFLUW,No,Credit card (automatic),55.2,528.35,Yes
4183-MYFRB,Female,0,No,No,21,Yes,No,4183,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,MYFRB,Yes,Electronic check,90.05,1862.9,No
,Male,1,No,No,1,No,No phone service,8779,DSL,No,No,Yes,No,No,Yes,Month-to-month,QRDMV,Yes,Electronic check,39.65,39.65,Yes
,Male,0,Yes,No,12,Yes,No,1680,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,VDCWW,No,Bank transfer (automatic),19.8,202.25,No
,Male,0,No,No,1,Yes,No,1066,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,JKSGK,No,Mailed check,20.15,20.15,Yes
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,3638,DSL,No,Yes,No,Yes,No,No,Two year,WEABW,Yes,Credit card (automatic),59.9,3505.1,No
,Male,0,Yes,Yes,49,Yes,No,6322,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,HRPFA,No,Credit card (automatic),59.6,2970.3,No
,Female,0,No,No,30,Yes,No,6865,DSL,Yes,Yes,No,No,No,No,Month-to-month,JZNKO,Yes,Bank transfer (automatic),55.3,1530.6,No
,Male,0,Yes,Yes,47,Yes,Yes,6467,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,CHFZW,Yes,Electronic check,99.35,4749.15,Yes
,Male,0,Yes,Yes,1,No,No phone service,8665,DSL,No,Yes,No,No,No,No,Month-to-month,UTDHZ,No,Electronic check,30.2,30.2,Yes
